"date","site","revenue","pageviews"
"2016-10-20","packinsider",4.81504489028049,899
"2016-10-20","russellstreet",7.09912524552945,924
"2016-10-20","hoosierhuddle",0.0279548201952081,100
"2016-10-20","wearewearside",0.14065770698474,16
"2016-10-20","red94",0.137587515140964,56
"2016-10-20","mcfcwatch",1.75067307227662,620
"2016-10-20","philliesnation",0.331532916095329,146
"2016-10-20","angelswin",0.985481408958496,731
"2016-10-20","foreverwestham",1.14379804772178,190
"2016-10-20","arsenal-mania",0.232658463579045,49
"2016-10-20","dailythunder",3.60172905008607,243
"2016-10-20","rabidhabs",0.0122013507375174,14
"2016-10-20","hornsports",0.167960916225565,40
"2016-10-20","sixpackspeak",0.649050775899994,543
"2016-10-20","projectspurs",2.80268848650666,521
"2016-10-20","dodgerblue",0.0671889578741685,15
"2016-10-20","buffalofambase",0.10349921516264,56
"2016-10-20","live4liverpool",2.22824581132178,174
"2016-10-20","tidefans",4.37407995229725,3286
"2016-10-20","thecelticblog",12.5221373833127,1215
"2016-10-20","celticquicknews",24.109906685909,1503
"2016-10-20","chicitysports",0.133353690997789,228
"2016-10-20","sfexaminer",7.06152148860992,1314
"2016-10-20","nothingbutnewcastle",3.9145239304322,861
"2016-10-20","tigernet",1.12118560444651,875
"2016-10-20","allhabs",0.160314995748301,180
"2016-10-20","gunnersphere",3.86377641591883,83
"2016-10-20","tennisguru",0.192263264294887,29
"2016-10-20","videocelts",6.26860130839211,2209
"2016-10-20","pittsburghsportsnow",6.24601287691748,1896
"2016-10-20","raiders411",0.00332717995661234,15
"2016-10-20","lakersnation",75.2852239697587,26419
"2016-10-20","cardinalconnect",1.33064787726638,195
"2016-10-21","packinsider",1.30904790894088,2185
"2016-10-21","celticquicknews",2.70843010821211,23279
"2016-10-21","dodgerblue",0.0144114652408867,14
"2016-10-21","tidefans",1.94943435274125,13013
"2016-10-21","cornellsun",0.00115194556919675,93
"2016-10-21","opendota",5.69288925646074,4301
"2016-10-21","dailythunder",0.541936884658744,1069
"2016-10-21","nothingbutnewcastle",1.93153601943677,3589
"2016-10-21","philliesnation",0.498053174849446,1313
"2016-10-21","mcfcwatch",0.193914859328543,989
"2016-10-21","therepublikofmancunia",0.395811346883455,2052
"2016-10-21","rousingthekop",0.0382491252501964,972
"2016-10-21","totalbarca",0.439094303950048,388
"2016-10-21","sfexaminer",0.67843273076179,4561
"2016-10-21","live4liverpool",0.666806243079597,1058
"2016-10-21","thecelticblog",3.05142128216769,21294
"2016-10-21","chicitysports",0.984743398284264,6186
"2016-10-21","pittsburghsportsnow",2.00651021163631,5026
"2016-10-21","allhabs",0.0741929094754604,287
"2016-10-21","tennisguru",0.0404450652808891,132
"2016-10-21","gunnersphere",0.354903681609112,682
"2016-10-21","hoosierhuddle",0.01332392868676,494
"2016-10-21","catchronicles",0.0423636533631048,108
"2016-10-21","arsenal-mania",0.0748495275056003,150
"2016-10-21","hornsports",0.0374236242559567,189
"2016-10-21","tigernet",0.393250097377302,2967
"2016-10-21","projectspurs",0.348401419911704,1008
"2016-10-21","videocelts",0.327835385766445,8215
"2016-10-21","sportsdaily",1.08861269808425,227
"2016-10-21","angelswin",0.53709739715038,1127
"2016-10-21","wearewearside",0.0271420961430483,279
"2016-10-21","mynhltraderumors",1.51868647865912,5773
"2016-10-21","rabidhabs",0.00457112784598377,61
"2016-10-21","foreverwestham",0.110516789730312,1077
"2016-10-21","russellstreet",1.21626847853257,3264
"2016-10-21","cardinalconnect",0.224049800847322,422
"2016-10-21","royalsblue",0.00124382853329648,58
"2016-10-21","bluemoon-mcfc",4.62314966433611,36036
"2016-10-21","lakersnation",29.9858106975729,35534
"2016-10-21","buffalofambase",0.0232047631789486,137
"2016-10-21","justinbieber",0.0274959241424956,11
"2016-10-21","birdgang",0.0082554504203881,29
"2016-10-21","red94",0.0570867688709161,119
"2016-10-22","pittsburghsportsnow",8.85182425269039,13
"2016-10-22","sfexaminer",0.0223916472993,3092
"2016-10-22","thecelticblog",19.9076729038093,86
"2016-10-22","lakersnation",80.6191747772288,56
"2016-10-22","bluemoon-mcfc",21.10484637334,70
"2016-10-22","celticquicknews",14.0499270165031,157
"2016-10-22","opendota",10.1263108175415,11
"2016-10-22","videocelts",14.8596241300025,32
"2016-10-23","bluemoon-mcfc",32.1822246212545,16
"2016-10-23","lakersnation",83.3896632353243,19
"2016-10-23","sfexaminer",0.00457709217340109,4253
"2016-10-23","celticquicknews",25.5238499849157,42
"2016-10-23","videocelts",28.42477449476,24
"2016-10-23","thecelticblog",7.10213333001622,16
"2016-10-24","celticquicknews",30.9977605833117,14
"2016-10-24","lakersnation",165.678288313381,11
"2016-10-25","cornellsun",0.0203510833806398,71
"2016-10-25","sixpackspeak",0.132989730264325,1676
"2016-10-25","buffalofambase",0.0687974443311061,45
"2016-10-25","sfexaminer",1.3391817046183,7386
"2016-10-25","starwarsnewsnet",0.00071764762580569,406
"2016-10-25","allhabs",0.295190219388762,95
"2016-10-25","dailythunder",3.89998573011748,415
"2016-10-25","red94",0.420409352094298,78
"2016-10-25","opendota",9.30017407446342,17
"2016-10-26","sfexaminer",2.9552050157259,5744
"2016-10-26","celticquicknews",15.5286992906976,13
"2016-10-26","buffalofambase",0.0241480919040894,142
"2016-10-26","dailythunder",2.1199358380516,2947
"2016-10-26","allhabs",0.132993101419482,388
"2016-10-26","cornellsun",0.118291221509689,73
"2016-10-26","red94",0.256783087468344,313
"2016-10-26","sixpackspeak",0.304892295503471,1312
"2016-10-27","metschronicle",0.00677180889815057,12
"2016-10-27","sixpackspeak",0.813289376900937,1505
"2016-10-27","dailythunder",4.256317109062,3036
"2016-10-27","red94",0.490653771771864,417
"2016-10-27","cornellsun",0.218932624205347,105
"2016-10-27","allhabs",0.302009877788535,523
"2016-10-27","buffalofambase",0.111633464934631,246
"2016-10-27","sfexaminer",6.62244850713293,6990
"2016-10-28","mynhltraderumors",0.0623801314279699,19
"2016-10-28","cardinalconnect",0.618949876411512,206
"2016-10-28","russellstreet",3.20351686307856,765
"2016-10-28","angelswin",2.35588181685433,1098
"2016-10-28","packinsider",0.826691012981858,185
"2016-10-28","sportsdaily",3.20325321419333,301
"2016-10-28","cornellsun",0.156234281519506,73
"2016-10-28","welikela",0.449345082631274,7317
"2016-10-28","tidefans",6.57302910395973,4713
"2016-10-28","foreverwestham",1.20122355345734,1188
"2016-10-28","buffalofambase",0.0917460794060012,198
"2016-10-28","opendota",8.90299261448475,1733
"2016-10-28","chicitysports",0.427859359969317,338
"2016-10-28","gunnersphere",1.28744106208971,465
"2016-10-28","nothingbutnewcastle",1.11020980770884,399
"2016-10-28","thecelticblog",18.8971888163198,6897
"2016-10-28","pittsburghsportsnow",8.46954155700193,3234
"2016-10-28","tennisguru",0.588889782627831,92
"2016-10-28","allhabs",0.290741525687385,537
"2016-10-28","bluemoon-mcfc",11.7318226361313,6588
"2016-10-28","lakersnation",88.0754374456238,47561
"2016-10-28","sfexaminer",5.73103873128788,6141
"2016-10-28","totalbarca",0.601433637446607,84
"2016-10-28","hoosierhuddle",0.0194817352888344,99
"2016-10-28","videocelts",22.9442464640108,3003
"2016-10-28","tigernet",2.23729157110583,1289
"2016-10-28","metschronicle",0.00506186075059958,32
"2016-10-28","ultimateknicks",1.30311292271911,1866
"2016-10-28","arseblog",23.447024999138,1499
"2016-10-28","catchronicles",0.00680279623067206,18
"2016-10-28","wearewearside",0.153972533234206,21
"2016-10-28","live4liverpool",6.69525640646131,2255
"2016-10-28","rousingthekop",0.81595124891489,25
"2016-10-28","rabidhabs",0.0626899805044396,45
"2016-10-28","mcfcwatch",2.09274788310101,939
"2016-10-28","dodgerblue",4.12212901021643,3207
"2016-10-28","philliesnation",3.24470079699434,959
"2016-10-28","celticquicknews",18.257067603989,3884
"2016-10-28","therepublikofmancunia",2.33907854892994,520
"2016-10-28","sixpackspeak",0.584766472908628,1074
"2016-10-28","dailythunder",3.2494449901781,2383
"2016-10-28","hornsports",0.293195693917764,73
"2016-10-28","red94",0.222645625528807,247
"2016-10-28","arsenal-mania",0.202936767782583,54
"2016-10-29","sixpackspeak",9.93081624205098,34791
"2016-10-29","russellstreet",1.78936598986437,4715
"2016-10-29","philliesnation",1.71308869935282,2324
"2016-10-29","nothingbutnewcastle",0.118184530753234,144
"2016-10-29","lakersnation",52.8606771264293,64963
"2016-10-29","videocelts",16.4617559287619,34631
"2016-10-29","cardinalconnect",0.355420943403927,439
"2016-10-29","wearewearside",0.175534823229636,382
"2016-10-29","raiders411",0.000620047982570875,17
"2016-10-29","sfexaminer",3.42485247973165,4119
"2016-10-29","totalbarca",0.574163259768804,616
"2016-10-29","buffalofambase",0.0612483855509085,153
"2016-10-29","arsenal-mania",0.276532670558615,327
"2016-10-29","dodgerblue",2.30840396756517,2092
"2016-10-29","tidefans",4.06544429254705,13831
"2016-10-29","mcfcwatch",4.0692374655284,6482
"2016-10-29","opendota",6.23302004402934,4815
"2016-10-29","arseblog",16.0591920850671,15609
"2016-10-29","rousingthekop",0.445246836266984,543
"2016-10-29","live4liverpool",3.01886158622841,2738
"2016-10-29","starwarsnewsnet",3.77163346152105,6678
"2016-10-29","rabidhabs",0.0320940101420489,74
"2016-10-29","welikela",0.387847807372883,10069
"2016-10-29","cornellsun",0.0561426061615109,33
"2016-10-29","angelswin",1.91200505965841,1924
"2016-10-29","scout",0.0110941968920844,11
"2016-10-29","sportsdaily",0.867331059873363,839
"2016-10-29","thecelticblog",6.81750797867264,11942
"2016-10-29","catchronicles",0.01025329302077,39
